Server run,workstation,stream,job,dependency,schedule,ET,user,script
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_NRT_MON,EIW_XML_RDMP_ADJ_FACT_LOOP,B03ACIAPP019#EIW_NRT_SYNC,"sun,mon",04:37:52,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh EIWOS DAILY_XML_RDMP_ADJUSTMENT_FACT_SEQ_Loop
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_NRT_MON,EIW_XML_ROADMAP_FACT_LOOP,B03ACIAPP019#EIW_NRT_SYNC,"sun,mon",04:47:52,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh EIWOS DAILY_XML_ROADMAP_LI_NRT_FACT_SEQ_Loop
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTL_30_DM_30,"B03ACIAPP019#EIW_OPPDTL_30_OWNG_30,","mon,tue,wed,thu,fri",00:00:37,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 EIWOS OPP_DTL_EIW_CALC_DM_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AM,EIW_OPPDTL_AM_DM_AM,B03ACIAPP019#EIW_OPPDTL_AM_OWNG_AM,"mon,tue,wed,thu,fri",00:00:35,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM EIWOS OPP_DTL_EIW_CALC_DM_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTL_AP_DM_AP,"B03ACIAPP019#EIW_OPPDTL_AP_OWNG_AP,","mon,tue,wed,thu,fri",00:00:35,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP EIWOS OPP_DTL_EIW_CALC_DM_SEQ
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTLC_30_MTRC_30,"B03ACIAPP019#EIW_OPPDTLC_30_CMF1_30,B03ACIAPP019#EIW_OPPDTLC_30_ODEC1_30,","mon,tue,wed,thu,fri",00:11:02,eiwclst,/home/eiwclst/LM/wrk/metrics.sh 30
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTL_30_OWNG_30,"B03ACIAPP019#EIW_OPPDTLC_30_CMF2_30,","mon,tue,wed,thu,fri",00:10:50,eiwclst,/home/eiwclst/LM/wrk/fulfillcode.sh 30
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTLC_30_CMF2_30,"B03ACIAPP019#EIW_OPPDTLC_30_INDC_30,","mon,tue,wed,thu,fri",00:07:00,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 EIWOS COMPONENT_METRIC_FACT_UPDT_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_30,EIW_OPPDTLC_30_INDC_30,"B03ACIAPP019#EIW_OPPDTLC_30_MTRC_30,","mon,tue,wed,thu,fri",00:05:48,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 EIWOS OPP_DTL_EIW_CALC_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPFD_QTR_30,EIW_OPP_FCST_DEC_QTR_30,"B03ACIAPP019#EIW_OPPDTLC_30,","mon,tue,wed,thu,fri",00:12:31,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 EIWOS OPP_FCST_OR_DEC_QTR_PROGRESS_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_EXT_D_30,EIW_P2P_EXT_30,"B03ACIAPP019#EIW_OPPDTLC_30,,","mon,tue,wed,thu,fri",00:01:55,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 PREDICTIVE_ANALYTICS P2P_EXTRACT_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_30,EIW_P2P_D_30,"B03ACIAPP019#EIW_OPPDTLC_30,B03ACIAPP019#EIW_P2P_EXT_D_30.EIW_P2P_EXT_30,","mon,tue,wed,thu,fri",00:03:58,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 PREDICTIVE_ANALYTICS P2P_SCORE_MASTER_DAILY_SEQ
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AM,EIW_OPPDTLC_AM_MTRC_AM,"B03ACIAPP019#EIW_OPPDTLC_AM_CMF1_AM,B03ACIAPP019#EIW_OPPDTLC_AM_ODEC1_AM,","mon,tue,wed,thu,fri",00:12:46,eiwclst,/home/eiwclst/LM/wrk/metrics.sh AM
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AM,EIW_OPPDTL_AM_OWNG_AM,"B03ACIAPP019#EIW_OPPDTLC_AM_CMF2_AM,","mon,tue,wed,thu,fri",00:11:53,eiwclst,/home/eiwclst/LM/wrk/fulfillcode.sh AM
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AM,EIW_OPPDTLC_AM_CMF2_AM,"B03ACIAPP019#EIW_OPPDTLC_AM_INDC_AM,","mon,tue,wed,thu,fri",00:08:12,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM EIWOS COMPONENT_METRIC_FACT_UPDT_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AM,EIW_OPPDTLC_AM_INDC_AM,"B03ACIAPP019#EIW_OPPDTLC_AM_MTRC_AM,","mon,tue,wed,thu,fri",00:06:39,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM EIWOS OPP_DTL_EIW_CALC_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPFD_QTR_AM,EIW_OPP_FCST_DEC_QTR_AM,"B03ACIAPP019#EIW_OPPDTLC_AM,","mon,tue,wed,thu,fri",00:08:54,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM EIWOS OPP_FCST_OR_DEC_QTR_PROGRESS_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_AM,EIW_P2V_AM,"B03ACIAPP019#EIW_OPPDTLC_AM,",wed,01:56:24,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM PREDICTIVE_ANALYTICS P2V_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_EXT_D_AM,EIW_P2P_EXT_AM,"B03ACIAPP019#EIW_OPPDTLC_AM,","mon,tue,wed,thu,fri",00:01:53,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM PREDICTIVE_ANALYTICS P2P_EXTRACT_MASTER_SEQ
